File Path,File Name,Parser Name,Status,Error Message,Duration (ms)
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_1.json","grammar_1.json","System.Text.Json","Success","","9"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_1.json","grammar_1.json","Newtonsoft.Json","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_1.json","grammar_1.json","Jil","Success","","12"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_1.json","grammar_1.json","Utf8Json","Success","","6"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_1.json","grammar_1.json","ServiceStack.Text","Success","","4"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_1.json","grammar_1.json","FastJson","Success","","21"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_10.json","grammar_10.json","System.Text.Json","Success","","14"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_10.json","grammar_10.json","Newtonsoft.Json","Success","","23"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_10.json","grammar_10.json","Jil","Success","","12"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_10.json","grammar_10.json","Utf8Json","Success","","15"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_10.json","grammar_10.json","ServiceStack.Text","Success","","8"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_10.json","grammar_10.json","FastJson","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_100.json","grammar_100.json","System.Text.Json","Error","The maximum configured depth of 64 has been exceeded. Cannot read next JSON object. Path: $ | LineNumber: 12485 | BytePositionInLine: 128.","12"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_100.json","grammar_100.json","Newtonsoft.Json","Error","The reader's MaxDepth of 64 has been exceeded. Path '[0].UrR[0].M3vRs['n aay'][1][2][3][0][1][0]['iV XY'].zaXDd[0].0WP1D.vydlN[2][1].V77yv.D5V7k[0][0][2].K0M8IN[4].kXJOgx[1][0][2][3][0][0][1][3][3][2][1][3][1][1].SE1jJbhWf[1][0][1].Al5gu.uH0LL[2][2].eyn[1][0][1].key[2][3].key[0][1][1][0].key[0].key[2]', line 12486, position 129.","17"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_100.json","grammar_100.json","Jil","Success","","15"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_100.json","grammar_100.json","Utf8Json","Success","","12"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_100.json","grammar_100.json","ServiceStack.Text","Success","","8"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_100.json","grammar_100.json","FastJson","Success","","8"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_101.json","grammar_101.json","System.Text.Json","Success","","7"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_101.json","grammar_101.json","Newtonsoft.Json","Success","","11"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_101.json","grammar_101.json","Jil","Success","","5"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_101.json","grammar_101.json","Utf8Json","Success","","4"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_101.json","grammar_101.json","ServiceStack.Text","Success","","4"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_101.json","grammar_101.json","FastJson","Success","","5"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_102.json","grammar_102.json","System.Text.Json","Success","","9"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_102.json","grammar_102.json","Newtonsoft.Json","Success","","9"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_102.json","grammar_102.json","Jil","Success","","9"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_102.json","grammar_102.json","Utf8Json","Success","","6"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_102.json","grammar_102.json","ServiceStack.Text","Success","","6"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_102.json","grammar_102.json","FastJson","Success","","6"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_103.json","grammar_103.json","System.Text.Json","Success","","11"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_103.json","grammar_103.json","Newtonsoft.Json","Success","","18"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_103.json","grammar_103.json","Jil","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_103.json","grammar_103.json","Utf8Json","Success","","11"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_103.json","grammar_103.json","ServiceStack.Text","Success","","5"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_103.json","grammar_103.json","FastJson","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_104.json","grammar_104.json","System.Text.Json","Success","","9"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_104.json","grammar_104.json","Newtonsoft.Json","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_104.json","grammar_104.json","Jil","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_104.json","grammar_104.json","Utf8Json","Success","","6"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_104.json","grammar_104.json","ServiceStack.Text","Success","","5"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_104.json","grammar_104.json","FastJson","Success","","4"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_105.json","grammar_105.json","System.Text.Json","Success","","7"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_105.json","grammar_105.json","Newtonsoft.Json","Success","","8"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_105.json","grammar_105.json","Jil","Success","","7"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_105.json","grammar_105.json","Utf8Json","Success","","5"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_105.json","grammar_105.json","ServiceStack.Text","Success","","3"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_105.json","grammar_105.json","FastJson","Success","","4"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_106.json","grammar_106.json","System.Text.Json","Success","","17"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_106.json","grammar_106.json","Newtonsoft.Json","Success","","28"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_106.json","grammar_106.json","Jil","Success","","19"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_106.json","grammar_106.json","Utf8Json","Success","","14"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_106.json","grammar_106.json","ServiceStack.Text","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_106.json","grammar_106.json","FastJson","Success","","10"
"C:\Users\Sammy\Documents\Thesis\AlaliSammyFuzzingJSON\JSONFiles\1mbgenerated\grammar_107.json","grammar_107.json","System.Text.Json","Success","","14"
